#{"t_start": 1764201084.5089068, "env_id": "None"}
r,l,t
33.499954,2500,776.773206
-0.7502986,2500,776.773224
13.499573,2500,776.773238
29.000381,2500,776.773249
3.9996684,2500,791.300151
-0.25028715,2500,791.300232
23.24948,2500,791.300248
25.49943,2500,791.300259
17.99962,2500,791.300269
4.2497005,2500,813.413448
-16.500488,2500,813.413534
43.25048,2500,813.413551
17.749647,2500,813.413563
20.249502,2500,813.413573
32.500023,2500,827.900359
-4.2502947,2500,827.900448
-3.5003273,2500,827.900464
14.999571,2500,827.900476
19.249483,2500,827.900487
31.0018,2500,842.707674
30.249485,2500,842.707753
10.999655,2500,842.70777
14.999569,2500,842.707782
16.749529,2500,842.707792
30.749926,2500,857.087514
16.999634,2500,857.087602
43.75011,2500,857.087619
1.9997633,2500,857.08763
-13.500494,2500,857.08764
34.500423,2500,871.328229
10.749617,2500,871.328317
17.999487,2500,871.328334
15.749531,2500,871.328346
28.499538,2500,871.328356
-16.750511,2500,894.708565
18.749657,2500,894.708652
-3.2503493,2500,894.708668
47.5012,2500,894.70868
11.749502,2500,894.708691
15.499634,2500,910.547041
30.249546,2500,910.547139
57.252865,2500,910.547159
9.499571,2500,910.54717
10.999514,2500,910.547181
2.24969,2500,924.951711
15.999678,2500,924.951795
8.749582,2500,924.951812
2.499832,2500,924.951822
-0.00019675493,2500,924.951832
-15.000486,2500,939.165991
18.749557,2500,939.166079
48.501217,2500,939.166096
2.749556,2500,939.166107
15.999538,2500,939.166117
24.499683,2500,961.385753
3.249682,2500,961.385851
3.749497,2500,961.38587
45.000965,2500,961.385881
12.499693,2500,961.385893
2.2496154,2500,975.979295
58.00076,2500,975.979379
17.749638,2500,975.979395
18.749578,2500,975.979407
-12.750314,2500,975.979417
13.7495575,2500,990.883549
49.751038,2500,990.883646
13.499643,2500,990.883689
-2.7501056,2500,990.883707
-14.750336,2500,990.883742
16.99962,2500,1005.471488
32.251476,2500,1005.471584
-17.7505,2500,1005.471605
18.749594,2500,1005.471621
4.2497425,2500,1005.471635
34.500042,2500,1019.879089
47.00154,2500,1019.879204
30.749851,2500,1019.879228
49.000656,2500,1019.879245
3.2496119,2500,1019.87926
2.7496023,2500,1043.26837
2.4997826,2500,1043.268457
28.499504,2500,1043.268473
30.249493,2500,1043.26849
3.9997628,2500,1043.268501
12.999666,2500,1057.603014
27.499613,2500,1057.603101
17.99972,2500,1057.603117
30.499582,2500,1057.603143
44.500355,2500,1057.603154
29.000553,2500,1072.359923
13.7495365,2500,1072.360009
-15.000477,2500,1072.360025
32.75071,2500,1072.360036
5.499571,2500,1072.360046
-19.000494,2500,1087.069942
14.249609,2500,1087.07004
-2.5002527,2500,1087.070071
13.999733,2500,1087.07009
17.749516,2500,1087.070108
18.24949,2500,1110.251603
